
104	47 Tuc	305.90	-44.89	7.4	0.40	2.03	0.04	-0.70	-0.99	1, 2, 12
1851		244.51	-35.04	16.7	0.06	2.32	0.02	-1.21	-0.36	1, 2
1904	M79	227.23	-29.35	18.8	0.16	1.72	0.01	-1.55	-0.89	1, 2
2298		245.63	-16.01	15.1	0.34	1.28	0.15	-1.97	0.93	2
2808		282.19	-11.25	11.0	0.26	1.77	0.23	-1.29	-0.49	1, 2
3201		277.23	8.64	9.0	1.43	1.30	0.21	-1.56	0.08	1, 2, 14
5286		311.61	10.57	7.2	0.29	1.46	0.24	-1.51	0.80	4
5904	M5	3.86	46.80	6.2	0.42	1.83	0.03	-1.26	0.31	1, 3, 13, 21
5927		326.60	4.86	4.5	0.42	1.60	0.45	-0.64	-1.00	1, 2
5946		327.58	4.19	7.4	0.08	2.50	0.54	-1.54	B	1
5986		337.02	13.27	4.8	0.63	1.22	0.27	-1.53	0.97	1, 2, 17
6121	M4	350.97	15.97	6.2	0.83	1.59	0.40	-1.15	-0.06	2, 5
6171	M107	3.37	23.01	3.3	0.54	1.51	0.33	-1.13	-0.73	1, 2
6218	M12	15.72	26.31	4.5	0.72	1.39	0.19	-1.32	0.97	1, 3, 15, 16
6235		358.92	13.52	2.9	0.13	1.33	0.36	-1.36	0.89	1
6254	M10	15.14	23.08	4.7	0.86	1.40	0.28	-1.51	0.98	3, 15
6266	M62	353.58	7.32	1.7	0.18	1.70	0.47	-1.20	0.32	1, 2
6284		358.35	9.94	6.9	0.07	2.50	0.28	-1.27	B	1
6304		355.83	5.38	2.1	0.21	1.80	0.52	-0.66	-1.00	1, 2
6316		357.18	5.76	3.2	0.17	1.55	0.51	-0.90	-1.00	1
6333	M9	5.54	10.71	1.7	0.58	1.15	0.35	-1.65	0.87	6
6342		4.90	9.73	1.7	0.05	2.50	0.46	-1.01	-1.00	1
6352		341.42	-7.17	3.1	0.83	1.10	0.19	-0.70	-1.00	2, 7, 8
6356		6.72	10.22	7.6	0.23	1.54	0.28	-0.74	-1.00	1
6362		325.55	-17.57	5.3	1.32	1.10	0.08	-1.17	-0.58	1, 2, 18
6388		345.56	-6.74	4.4	0.12	1.70	0.40	-0.68	I	1
6441		353.53	-5.01	3.5	0.11	1.85	0.44	-0.65	I	1
6522		1.02	-3.93	0.6	0.05	2.50	0.48	-1.39	0.71	1
6528		1.14	-4.17	1.5	0.09	2.29	0.62	-0.10	-1.00	9, 19
6544		5.84	-2.20	5.4	0.05	1.63	0.73	-1.38	1.00	1, 2
6553		5.25	-3.02	4.6	0.55	1.17	0.80	-0.20	-1.00	10
6569		0.48	-6.68	1.2	0.37	1.27	0.56	-1.08	MR	1, 20
6624		2.79	-7.91	1.2	0.06	2.50	0.28	-0.70	-1.00	1
6626	M28	7.80	-5.58	2.4	0.24	1.67	0.38	-1.21	0.90	2
6637	M69	1.72	-10.27	1.6	0.34	1.39	0.16	-0.78	-1.00	1, 2
6638		7.90	-7.15	1.6	0.26	1.40	0.40	-1.08	-0.30	1, 2
6652		1.53	-11.38	2.4	0.07	1.80	0.09	-1.10	-1.00	1
6723		0.07	-17.30	2.6	0.94	1.05	0.05	-1.14	-0.08	1, 2
6752		336.50	-25.63	5.1	0.17	2.50	0.04	-1.57	1.00	2, 11
7089	M2	53.38	-35.78	10.4	0.34	1.80	0.06	-1.49	0.96	1
